id,treatment,sex,prl,cort,p4,e2t
x.blu94,m.inc.d17,female,25.37,0.795754917,0.672468948,0.150320822
x.y119.w11,m.inc.d17,female,11.31,0.537475063,0.694859049,0.16777606
y85.r71.x,m.inc.d17,female,5.84,1.814376609,0.1077252,0.118294298
g.o.y.s037,m.inc.d17,male,15.22,1.666116156,0.279621317,2.858795888
g32.blu79,m.inc.d17,male,8.88,1.56172466,0.930345032,4.281536013
l.s024.y.g,m.inc.d17,male,65.16,1.09860274,1.265005303,0.675487829
o59.blu64,m.inc.d17,male,15.22,2.213374248,1.817969641,4.848572632
s064.g.blk.pu,m.inc.d17,male,6.68,0.823939044,0.218067675,3.841167185
s096.g.blk.pk,m.inc.d17,male,3.44,0.971796065,1.44120118,0.942708349
x.o40.r70,m.inc.d17,male,16.62,4.617099942,0.507409051,3.589225601
x.r10.w18,m.inc.d17,male,7.4,1.873036805,1.7772494,3.971099535
y148.w81.g145,m.inc.d17,male,31.81,0.843972711,0.930345032,2.858795888
y4.x,m.inc.d17,male,76.73,0.991499187,0.136236686,0.720569961
blk.s049.y.g,m.inc.d3,female,27.05,2.94570993,0.6562115,0.033057453
blk.s060.pu.w,m.inc.d3,female,19.36,3.229712887,0.928888253,0.040454676
blu56.o53,m.inc.d3,female,21.31,3.800618531,1.125227113,0.132062295
d.s177.blk.r,m.inc.d3,female,6.35,0.746724709,0.512214265,0.040659209
g144.r54.x,m.inc.d3,female,9.19,1.575811356,0.251633507,0.034977106
r.s035.y.blk,m.inc.d3,female,16.86,4.198740885,1.126030983,0.093693678
s069.pk.pu.g,m.inc.d3,female,9.53,2.576841295,0.269597099,0.508125108
s093.blk.y.d,m.inc.d3,female,16.7,1.116362683,0.602928695,0.041665885
s103.y.pk.blk,m.inc.d3,female,7.25,1.779591697,0.214432075,0.080170422
x.r180,m.inc.d3,female,17.15,0.65114786,0.342123461,0.039912097
blk5.x,m.inc.d3,male,11.48,2.163570989,0.11639628,1.176094136
d.s110.g.blk,m.inc.d3,male,5.2,2.421059491,0.398545376,1.892441304
g.blk.s041.r,m.inc.d3,male,7.24,4.639099192,0.090054968,0.787519875
o.s010.r.blk,m.inc.d3,male,4.71,13.29809308,1.261793634,1.78615073
s071.pu.g.pk,m.inc.d3,male,13.64,3.602017129,0.398545376,0.045603937
s139.l.blk.w,m.inc.d3,male,3.51,3.261456646,0.398545376,1.62431131
s175.blk.pu.pk,m.inc.d3,male,6.3,3.06525816,0.398545376,0.238805468
x.g5.w79,m.inc.d3,male,8.92,1.086372034,0.263153839,1.183576922
x.r185,m.inc.d3,male,4.94,1.283392822,0.211720021,0.823349036
y18.x,m.inc.d3,male,8.33,0.866260554,0.448153512,7.801162309
blu63.g62,m.inc.d9,female,8.91,1.52958352,0.512078752,0.037898531
d.r.blk.s159,m.inc.d9,female,8.7,0.919530208,0.143851264,0.071198921
g73.x,m.inc.d9,female,3.35,0.574358188,0.326364048,0.107689223
o36.r62.x,m.inc.d9,female,39.83,0.557771891,1.377801381,0.131527056
o45.g128.x,m.inc.d9,female,36.79,1.11697112,0.933174607,0.12905326
x.blu25,m.inc.d9,female,10.9,0.890657241,1.745027119,0.118084488
x.r76,m.inc.d9,female,14.31,1.803462297,1.421971533,0.166962734
y12.x,m.inc.d9,female,19.86,0.825702546,1.694861497,0.048126625
y128.g23.x,m.inc.d9,female,29.57,0.874945502,0.111240772,0.037849647
l.s280.g.blk,m.inc.d9,male,16.47,1.058705702,0.838069768,5.67128071
o.d.s009,m.inc.d9,male,13.78,3.303128498,1.760224609,2.274177428
r196.x,m.inc.d9,male,7.21,1.019625533,0.204615352,2.811721911
r85.g39,m.inc.d9,male,8.45,0.943824812,0.259804815,4.689293656
x.o117,m.inc.d9,male,34.39,1.487306758,0.276261362,2.253461016
