"","sex","tissue","comparison","direction","gene","lfc","padj","logpadj"
"5597","female","pituitary","lo vs. hi PRL   ","lo","CHTF18",-0.176626500923824,0.0472789552916848,1.32533212849036
"5598","female","pituitary","lo vs. hi PRL   ","lo","IFIH1",-0.176731232568788,0.0412660318153727,1.38440729132477
"5599","female","pituitary","lo vs. hi PRL   ","lo","MAPKBP1",-0.176973704235417,0.0323837613165903,1.4896727101172
"5600","female","pituitary","lo vs. hi PRL   ","lo","CSK",-0.177497752334656,0.0197513067063265,1.70440416704641
"5601","female","pituitary","lo vs. hi PRL   ","lo","MEF2D",-0.177519578060106,0.0148949746343043,1.8269602320388
"5602","female","pituitary","lo vs. hi PRL   ","lo","ATP8B1",-0.177597971252447,0.0893191470422597,1.04905543289805
"5603","female","pituitary","lo vs. hi PRL   ","lo","KIAA0753",-0.177664813016819,0.0298943141522639,1.5244114058934
"5604","female","pituitary","lo vs. hi PRL   ","lo","PPTC7",-0.177925370774139,0.0131846622176021,1.87993099206779
"5605","female","pituitary","lo vs. hi PRL   ","lo","CPD",-0.177994554445384,0.0260486606095952,1.58421460268371
"5606","female","pituitary","lo vs. hi PRL   ","lo","LOC101750090",-0.178045196079718,0.0463027131757046,1.33439356011134
"5607","female","pituitary","lo vs. hi PRL   ","lo","CTD-2116N17.1",-0.178110489902399,0.0532589853086084,1.27360711200654
"5608","female","pituitary","lo vs. hi PRL   ","lo","PWWP2A",-0.178561347118418,0.0283020121762802,1.54818268652555
"5609","female","pituitary","lo vs. hi PRL   ","lo","NMRAL1",-0.178587846474707,0.0513295117924429,1.28963286640077
"5610","female","pituitary","lo vs. hi PRL   ","lo","ZNF710",-0.178661879377055,0.0535933035465202,1.27088947177137
"5611","female","pituitary","lo vs. hi PRL   ","lo","TADA2A",-0.179347726903387,0.0135373170879737,1.86846739837921
"5612","female","pituitary","lo vs. hi PRL   ","lo","POMGNT1",-0.179566206917776,0.00785937936384421,2.10461174779009
"5613","female","pituitary","lo vs. hi PRL   ","lo","TLN2",-0.179642748941263,0.0212272322697669,1.67310662798788
"5614","female","pituitary","lo vs. hi PRL   ","lo","BCL2L1",-0.179654623668289,0.025566810807368,1.59232344229605
"5615","female","pituitary","lo vs. hi PRL   ","lo","PEX6",-0.179667333494294,0.00269354526139625,2.56967572232353
"5616","female","pituitary","lo vs. hi PRL   ","lo","LOC107049315",-0.179762469124384,0.0504524678992343,1.29711758524857
"5617","female","pituitary","lo vs. hi PRL   ","lo","PTEN",-0.179857533426687,0.00312525559017671,2.50511445932334
"5618","female","pituitary","lo vs. hi PRL   ","lo","PTBP1",-0.180126795150624,0.00178576846616189,2.74817485025522
"5619","female","pituitary","lo vs. hi PRL   ","lo","ATN1",-0.180230338615722,0.0419767706297479,1.37699097574952
"5620","female","pituitary","lo vs. hi PRL   ","lo","MYD88",-0.180474432337681,0.0888650663763362,1.05126893038658
"5621","female","pituitary","lo vs. hi PRL   ","lo","ZC3HAV1",-0.180597456864368,0.0185998495748957,1.73049056809697
"5622","female","pituitary","lo vs. hi PRL   ","lo","GUCY1A3",-0.18067156628434,0.0837986678721692,1.07676288519269
"5623","female","pituitary","lo vs. hi PRL   ","lo","RP4-583P15.15",-0.180805788649814,0.0185998495748957,1.73049056809697
"5624","female","pituitary","lo vs. hi PRL   ","lo","ZSWIM8",-0.180870840958099,0.0504984068976288,1.29672232260376
"5625","female","pituitary","lo vs. hi PRL   ","lo","ANAPC1",-0.181402794814641,0.034040561419988,1.46800328584972
"5626","female","pituitary","lo vs. hi PRL   ","lo","TMEFF2",-0.181527446674925,0.0582152074186811,1.234963550826
"5627","female","pituitary","lo vs. hi PRL   ","lo","TFIP11",-0.181766254114634,0.0221518930837281,1.65458915338288
"5628","female","pituitary","lo vs. hi PRL   ","lo","WBP11",-0.181884187723892,0.00333551940839114,2.47683652797418
"5629","female","pituitary","lo vs. hi PRL   ","lo","CDH4",-0.181907014402819,0.0614267108904415,1.21164273847132
